"SourceTextTitle","SourceTextCode","PageNumber","PageEventEnds","Location","LocationCode","CharactersPresent","NarrativeStatus","Date","Era","Body","characters_introduced","eventname","fade","importance","lab","mark","n","Remembered","s","style","x","y","First 8-10 words of event","Nid","OrderWithinPage","Chronological Order","Summary","Keywords","CharactersMentioned","Indeterminate Date Range","kw_actions","kw_aesthetics","kw_cultural_issues","kw_environment","kw_relationships","kw_themes_and_motifs"
"Absalom, Absalom!","AA","148","148","Fishing Camp|Hunting Camp","018","","Narrated+Consciousness","1867-01-01 to 1869-08-11","Reconstruction (1866-1889)","","","","","","","","","","","","","","would lean for two years)","24539","148.06","410.10","<p>The narrative finishes its reference to how the scythe waited ""for two years"" at the camp where Wash and Milly Jones were living (148).  [SOURCE: Quentin-Shreve]</p>","","","0","","","","","","Time > Measuring time"
"Absalom, Absalom!","AA","148","148","Fishing Camp|Hunting Camp","018","15453, 15469","Narrated+Consciousness","1869-08-12","Reconstruction (1866-1889)","","","","","","","","","","","","","","and at last forced him to use though not","24538","148.05","414.20","<p>The narrative refers, figuratively, to Wash's killing of Sutpen.  [SOURCE: Quentin-Shreve]</p>","","","0","Violent > Murder","Figures of Speech > Scythe","","","",""
"Absalom, Absalom!","AA","148","148","Fishing Camp|Hunting Camp","018","15453, 15469","Narrated+Consciousness","1867-01-01 to 1869-07-31","Reconstruction (1866-1889)","","","","","","","","","","","","","","against which the rusty scythe which Sutpen was to lend","24537","148.04","408.20","<p>The narrative calls attention to the ""rusty scythe"" at the camp where Wash Jones lived with his granddaughter (148).  [SOURCE: Quentin-Shreve]</p>","","","0","","Narrative > Foreshadowing | Symbolism > Time","","","","Objects > Scythe"
"Absalom, Absalom!","AA","148","148","Sutpen Plantation","017","15451, 15465, 15462","Narrated+Consciousness","1865-05-04 to 1865-12-31","Civil War (1861-1865)","","","","","","","","","","","","","","which she wore during the next year while","24536","148.03","382.50","<p>The narrative describes how Rosa, Judith and Clytemnestra lived on their own at Sutpen's Hundred, which occasional help from Wash Jones.  [SOURCE: Quentin-Shreve]</p>","","15340, 15453","0","Domestic > Housekeeping","","Class > Caste system","","",""
"Absalom, Absalom!","AA","148","148","Sutpen Plantation","017","15465, 15453, 15462","Narrated+Consciousness","1865-05-03","Civil War (1861-1865)","","","","","","","","","","","","","","the aunt who came to succor her in bereavement","24535","148.02","374.60","<p>The narrative recounts Rosa's trip to Sutpen's on the day Charles Bon died.  [SOURCE: Quentin-Shreve]</p>","","","0","","Typography/Orthography > Italics","Clothes > Handmade","","Familial > Aunt-niece","Animals > Chickens/roosters | Death > Response to | Objects > Coffin | Recurring Tropes > Door"
"Absalom, Absalom!","AA","251","251","Harvard University","289","15470, 15458","Narrated","1910-01-14","Turn of the Century (1890-1913)","","","","","","","","","","","","","","The letter which he - ""  it was not Bon he meant","24534","251.02","558.20","<p>The narrator again asserts how intuitively Quentin understands whom Shreve means by ""he"" - which is now the lawyer, rather than Bon (251).  [SOURCE: Narrator]</p>","","15463","0","","Narrative > Collaborative narration","","","",""
"Absalom, Absalom!","AA","249","249","New Orleans, Louisiana","146","15463, 15452","Told","1859-08-02 to 1859-08-31","Antebellum (1831-1860)","","","","","","","","","","","","","",""" - listening courteous and quiet behind that expression which","24533","249.02","162.10","<p>Shreve's reconstruction of the conversation between Bon and the lawyer continues.  [SOURCE: Shreve-Quentin]</p>","","15454","0","","","Education > University of Mississippi","","",""
"Absalom, Absalom!","AA","249","249","Harvard University","289","15470, 15458","Narrated","1910-01-14","Turn of the Century (1890-1913)","","","","","","","","","","","","","","(neither of them said 'Bon'.  Never at any time","24532","249.01","558.00","<p>The narrative notes that Quentin invariably knows whom Shreve means ""by 'he'"" (249)  [SOURCE: Narrator]</p>","","15463","0","","Narrative > Collaborative narration | Narrative > Parentheses","","","",""
"Absalom, Absalom!","AA","147","147","Sutpen's Store","100","15340, 15453, 15469, 24528, 24530","Told","1866-07-01 to 1869-08-12","Reconstruction (1866-1889)","","","","","","","","","","","","","","and so running his little crossroads store with","24531","147.02","404.10","<p>In order to provide for himself and his diminished family, Sutpen opens a little store, where (as Shreve flippantly puts it) he ""bought his way back into"" trouble with women by courting the granddaughter of his poor white ""clerk"" (147).  [SOURCE: Shreve]</p>","","","0","","Diction > Derogatory socio-economic term | Diction > Racist term","Class > Class consciousness | Class > White trash","Place > Country store","Romantic > Courtship",""
"Absalom, Absalom!","AA","147","147","Sutpen Plantation","017","15451, 15462, 15469","Told","1866-07-01 to 1869-03-31","Reconstruction (1866-1889)","","","","","","","","","","","","","","and was free now, forever more now of threat","24526","147.01","404.00","<p>Shreve describes Sutpen's decision to open a ""little crossroads store,"" and - elliptically - how it led him into another doomed relationship (147).  [SOURCE: Shreve]</p>","","15456, 15461","0","","Diction > Derogatory socio-economic term","Class > White trash | Cultural Identity > North vs South","Place > Country store","","Naming > And caste"
