"TextCode","DisplayName","SortName","About"
"DD","Theresa M. Towner","Towner, Theresa M.","<p>Theresa M. Towner is Ashbel Smith Professor of Literary Studies at the University of Texas at Dallas and the Co-Director of Digital Yoknapatawpha. Her books on Faulkner include <em>Faulkner on the Color Line: The Later Novels</em>, <em>Reading Faulkner: Collected Stories</em> (with James B. Carothers), and <em>The Cambridge Introduction to William Faulkner</em>. She has also edited the Library of America volume of Faulkner's short stories as well as <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, a collection of essays by collaborating editors of DY.</p>
"
"UW","Theresa M. Towner","Towner, Theresa M.","<p>Theresa M. Towner is Ashbel Smith Professor of Literary Studies at the University of Texas at Dallas and the Co-Director of Digital Yoknapatawpha. Her books on Faulkner include <em>Faulkner on the Color Line: The Later Novels</em>, <em>Reading Faulkner: Collected Stories</em> (with James B. Carothers), and <em>The Cambridge Introduction to William Faulkner</em>. She has also edited the Library of America volume of Faulkner's short stories as well as <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, a collection of essays by collaborating editors of DY.</p>
"
"TWB","Theresa M. Towner","Towner, Theresa M.","<p>Theresa M. Towner is Ashbel Smith Professor of Literary Studies at the University of Texas at Dallas and the Co-Director of Digital Yoknapatawpha. Her books on Faulkner include <em>Faulkner on the Color Line: The Later Novels</em>, <em>Reading Faulkner: Collected Stories</em> (with James B. Carothers), and <em>The Cambridge Introduction to William Faulkner</em>. She has also edited the Library of America volume of Faulkner's short stories as well as <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, a collection of essays by collaborating editors of DY.</p>
"
"CRT","Theresa M. Towner","Towner, Theresa M.","<p>Theresa M. Towner is Ashbel Smith Professor of Literary Studies at the University of Texas at Dallas and the Co-Director of Digital Yoknapatawpha. Her books on Faulkner include <em>Faulkner on the Color Line: The Later Novels</em>, <em>Reading Faulkner: Collected Stories</em> (with James B. Carothers), and <em>The Cambridge Introduction to William Faulkner</em>. She has also edited the Library of America volume of Faulkner's short stories as well as <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, a collection of essays by collaborating editors of DY.</p>
"
"LD","Erin Kay Penner","Penner, Erin Kay","<p>Erin Penner is Associate Professor of English at Asbury University. She is the author of <em>Character and Mourning: Woolf, Faulkner, and the Novel Elegy of the First World War</em> and has written on Faulkner for <em>Studies in the Novel</em>, <em>African-American Review</em>, <em>Mississippi Quarterly</em>, and <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, edited by Theresa M. Towner and published by the University of Virginia Press.</p>
"
"GDM","Erin Kay Penner","Penner, Erin Kay","<p>Erin Penner is Associate Professor of English at Asbury University. She is the author of <em>Character and Mourning: Woolf, Faulkner, and the Novel Elegy of the First World War</em> and has written on Faulkner for <em>Studies in the Novel</em>, <em>African-American Review</em>, <em>Mississippi Quarterly</em>, and <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, edited by Theresa M. Towner and published by the University of Virginia Press.</p>
"
"ID","Erin Kay Penner","Penner, Erin Kay","<p>Erin Penner is Associate Professor of English at Asbury University. She is the author of <em>Character and Mourning: Woolf, Faulkner, and the Novel Elegy of the First World War</em> and has written on Faulkner for <em>Studies in the Novel</em>, <em>African-American Review</em>, <em>Mississippi Quarterly</em>, and <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, edited by Theresa M. Towner and published by the University of Virginia Press.</p>
"
"AC","Erin Kay Penner","Penner, Erin Kay","<p>Erin Penner is Associate Professor of English at Asbury University. She is the author of <em>Character and Mourning: Woolf, Faulkner, and the Novel Elegy of the First World War</em> and has written on Faulkner for <em>Studies in the Novel</em>, <em>African-American Review</em>, <em>Mississippi Quarterly</em>, and <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, edited by Theresa M. Towner and published by the University of Virginia Press.</p>
"
"PAN","Erin Kay Penner","Penner, Erin Kay","<p>Erin Penner is Associate Professor of English at Asbury University. She is the author of <em>Character and Mourning: Woolf, Faulkner, and the Novel Elegy of the First World War</em> and has written on Faulkner for <em>Studies in the Novel</em>, <em>African-American Review</em>, <em>Mississippi Quarterly</em>, and <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, edited by Theresa M. Towner and published by the University of Virginia Press.</p>
"
"ELY","Erin Kay Penner","Penner, Erin Kay","<p>Erin Penner is Associate Professor of English at Asbury University. She is the author of <em>Character and Mourning: Woolf, Faulkner, and the Novel Elegy of the First World War</em> and has written on Faulkner for <em>Studies in the Novel</em>, <em>African-American Review</em>, <em>Mississippi Quarterly</em>, and <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em>, edited by Theresa M. Towner and published by the University of Virginia Press.</p>
"
"SF","Ren Denton","Denton, Ren","<p>Ren Denton holds a Ph.D. in Literary and Cultural Studies and an M.F.A. in Creative Writing and is an Associate Professor of English at East Georgia State College, where she teaches American and African American Literature. Her publications include articles on Faulkner in <em>Critical Insights: The Sound and the Fury</em> edited by Taylor Hagood, <em>Faulkner Conference Series: Faulkner and Hurston</em> edited by Christopher Rieger and Andrew B. Leiter, and <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em> edited by Theresa M. Towner. She has also presented her teaching experience with Digital Yoknapatawpha at the Faulkner and Yoknapatawpha Conference. She has created and co-created with Victoria Bryan several Digital Yoknapatawpha worksheets for the classroom.</p>
"
"R","Ren Denton","Denton, Ren","<p>Ren Denton holds a Ph.D. in Literary and Cultural Studies and an M.F.A. in Creative Writing and is an Associate Professor of English at East Georgia State College, where she teaches American and African American Literature. Her publications include articles on Faulkner in <em>Critical Insights: The Sound and the Fury</em> edited by Taylor Hagood, <em>Faulkner Conference Series: Faulkner and Hurston</em> edited by Christopher Rieger and Andrew B. Leiter, and <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em> edited by Theresa M. Towner. She has also presented her teaching experience with Digital Yoknapatawpha at the Faulkner and Yoknapatawpha Conference. She has created and co-created with Victoria Bryan several Digital Yoknapatawpha worksheets for the classroom.</p>
"
"W","Ren Denton","Denton, Ren","<p>Ren Denton holds a Ph.D. in Literary and Cultural Studies and an M.F.A. in Creative Writing and is an Associate Professor of English at East Georgia State College, where she teaches American and African American Literature. Her publications include articles on Faulkner in <em>Critical Insights: The Sound and the Fury</em> edited by Taylor Hagood, <em>Faulkner Conference Series: Faulkner and Hurston</em> edited by Christopher Rieger and Andrew B. Leiter, and <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em> edited by Theresa M. Towner. She has also presented her teaching experience with Digital Yoknapatawpha at the Faulkner and Yoknapatawpha Conference. She has created and co-created with Victoria Bryan several Digital Yoknapatawpha worksheets for the classroom.</p>
"
"DEL","Ren Denton","Denton, Ren","<p>Ren Denton holds a Ph.D. in Literary and Cultural Studies and an M.F.A. in Creative Writing and is an Associate Professor of English at East Georgia State College, where she teaches American and African American Literature. Her publications include articles on Faulkner in <em>Critical Insights: The Sound and the Fury</em> edited by Taylor Hagood, <em>Faulkner Conference Series: Faulkner and Hurston</em> edited by Christopher Rieger and Andrew B. Leiter, and <em>Digitizing Faulkner: Yoknapatawpha in the Twenty-First Century</em> edited by Theresa M. Towner. She has also presented her teaching experience with Digital Yoknapatawpha at the Faulkner and Yoknapatawpha Conference. She has created and co-created with Victoria Bryan several Digital Yoknapatawpha worksheets for the classroom.</p>
"
