"TextCode","DisplayName","SortName","About"
"SAS","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"POL","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"GOL","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"DEL","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"TWS","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"UW","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"MZG","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"ABH","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"ELY","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"LIO","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"MNK","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"CRT","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"RAM","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"NC","Stephen Railton","Railton, Stephen","<p>Stephen Railton, Emeritus Professor of English at the University of Virginia, is the creator of Digital Yoknapatawpha, and directed the project from 2011-2023. Since the mid-1990s most of his time has been spent in virtual reality, exploring how electronic technology can help scholars, teachers and students appreciate the story of American literature and culture in new ways. Among the other major online resources, he has created are Mark Twain in His Times, Uncle Tom's Cabin & American Culture, and Faulkner at Virginia. In addition to the Yoknapatawpha fictions he has helped edit, he is the author of most of the ancillary materials and exhibits in DY – Manuscripts Etc., Audio Clips, Genealogies and so on.</p>
"
"R","Steven Knepper","Knepper, Steven","<p>Steven Knepper is an Associate Professor in the Department of English, Rhetoric, and Humanistic Studies at Virginia Military Institute. He is the associate editor of the <em>Robert Frost Review</em> and the author of <em>Wonder Strikes: Approaching Aesthetics and Literature with William Desmond</em> (SUNY, 2022). He has published essays, poems, and book reviews in a number of journals. As a graduate student at the University of Virginia, he was part of the main production team for <em>Faulkner at Virginia: An Audio Archive</em>.</p>
"
"BB","Steven Knepper","Knepper, Steven","<p>Steven Knepper is an Associate Professor in the Department of English, Rhetoric, and Humanistic Studies at Virginia Military Institute. He is the associate editor of the <em>Robert Frost Review</em> and the author of <em>Wonder Strikes: Approaching Aesthetics and Literature with William Desmond</em> (SUNY, 2022). He has published essays, poems, and book reviews in a number of journals. As a graduate student at the University of Virginia, he was part of the main production team for <em>Faulkner at Virginia: An Audio Archive</em>.</p>
"
"TES","Steven Knepper","Knepper, Steven","<p>Steven Knepper is an Associate Professor in the Department of English, Rhetoric, and Humanistic Studies at Virginia Military Institute. He is the associate editor of the <em>Robert Frost Review</em> and the author of <em>Wonder Strikes: Approaching Aesthetics and Literature with William Desmond</em> (SUNY, 2022). He has published essays, poems, and book reviews in a number of journals. As a graduate student at the University of Virginia, he was part of the main production team for <em>Faulkner at Virginia: An Audio Archive</em>.</p>
"
"GOD","Steven Knepper","Knepper, Steven","<p>Steven Knepper is an Associate Professor in the Department of English, Rhetoric, and Humanistic Studies at Virginia Military Institute. He is the associate editor of the <em>Robert Frost Review</em> and the author of <em>Wonder Strikes: Approaching Aesthetics and Literature with William Desmond</em> (SUNY, 2022). He has published essays, poems, and book reviews in a number of journals. As a graduate student at the University of Virginia, he was part of the main production team for <em>Faulkner at Virginia: An Audio Archive</em>.</p>
"
"SF","Taylor Hagood","Hagood, Taylor","<p>Taylor Hagood is Professor of American literature at Florida Atlantic University. His publications include <em>Faulkner's Imperialism: Space, Place, and the Materiality of Myth</em>; <em>Following Faulkner: The Critical Response to Yoknapatawpha's Architect</em>; and <em>Faulkner, Writer of Disability</em>, winner of the C. Hugh Holman Award for Best Book in Southern Studies. He has published articles on Faulkner and served as President of the William Faulkner Society (2018-2021).</p>
"
"BB","Taylor Hagood","Hagood, Taylor","<p>Taylor Hagood is Professor of American literature at Florida Atlantic University. His publications include <em>Faulkner's Imperialism: Space, Place, and the Materiality of Myth</em>; <em>Following Faulkner: The Critical Response to Yoknapatawpha's Architect</em>; and <em>Faulkner, Writer of Disability</em>, winner of the C. Hugh Holman Award for Best Book in Southern Studies. He has published articles on Faulkner and served as President of the William Faulkner Society (2018-2021).</p>
"
"W","Taylor Hagood","Hagood, Taylor","<p>Taylor Hagood is Professor of American literature at Florida Atlantic University. His publications include <em>Faulkner's Imperialism: Space, Place, and the Materiality of Myth</em>; <em>Following Faulkner: The Critical Response to Yoknapatawpha's Architect</em>; and <em>Faulkner, Writer of Disability</em>, winner of the C. Hugh Holman Award for Best Book in Southern Studies. He has published articles on Faulkner and served as President of the William Faulkner Society (2018-2021).</p>
"
"UNV","Taylor Hagood","Hagood, Taylor","<p>Taylor Hagood is Professor of American literature at Florida Atlantic University. His publications include <em>Faulkner's Imperialism: Space, Place, and the Materiality of Myth</em>; <em>Following Faulkner: The Critical Response to Yoknapatawpha's Architect</em>; and <em>Faulkner, Writer of Disability</em>, winner of the C. Hugh Holman Award for Best Book in Southern Studies. He has published articles on Faulkner and served as President of the William Faulkner Society (2018-2021).</p>
"
"VEN","Taylor Hagood","Hagood, Taylor","<p>Taylor Hagood is Professor of American literature at Florida Atlantic University. His publications include <em>Faulkner's Imperialism: Space, Place, and the Materiality of Myth</em>; <em>Following Faulkner: The Critical Response to Yoknapatawpha's Architect</em>; and <em>Faulkner, Writer of Disability</em>, winner of the C. Hugh Holman Award for Best Book in Southern Studies. He has published articles on Faulkner and served as President of the William Faulkner Society (2018-2021).</p>
"
"DS","Garrett Morrison","Morrison, Garrett","<p>Garrett Morrison is a doctoral candidate in English at Northwestern University. He specializes in the literature of community and place, and his dissertation explores the social and spatial dimensions of print culture in the nineteenth-century American West.</p>
"
"RL","Garrett Morrison","Morrison, Garrett","<p>Garrett Morrison is a doctoral candidate in English at Northwestern University. He specializes in the literature of community and place, and his dissertation explores the social and spatial dimensions of print culture in the nineteenth-century American West.</p>
"
"SF","Johannes H. Burgers","Burgers, Johannes H.","<p>Johannes Burgers is an Associate Professor of English and Digital Humanities at James Madison University in Virginia and the Co-Director of Digital Yoknapatawpha. Together with Chris Rieger, he directed Teaching and Learning Faulkner in the Digital Age, an NEH grant-funded project to add new learning modules to the site's teaching and learning section. He works on advanced data visualizations of DY's data, and has published in venues such as <em>Mississippi Quarterly</em>, <em>Cultural Analytics</em>, and <em>Digital Humanities Quarterly</em>.</p>
"
"AA","Johannes H. Burgers","Burgers, Johannes H.","<p>Johannes Burgers is an Associate Professor of English and Digital Humanities at James Madison University in Virginia and the Co-Director of Digital Yoknapatawpha. Together with Chris Rieger, he directed Teaching and Learning Faulkner in the Digital Age, an NEH grant-funded project to add new learning modules to the site's teaching and learning section. He works on advanced data visualizations of DY's data, and has published in venues such as <em>Mississippi Quarterly</em>, <em>Cultural Analytics</em>, and <em>Digital Humanities Quarterly</em>.</p>
"
"H","Johannes H. Burgers","Burgers, Johannes H.","<p>Johannes Burgers is an Associate Professor of English and Digital Humanities at James Madison University in Virginia and the Co-Director of Digital Yoknapatawpha. Together with Chris Rieger, he directed Teaching and Learning Faulkner in the Digital Age, an NEH grant-funded project to add new learning modules to the site's teaching and learning section. He works on advanced data visualizations of DY's data, and has published in venues such as <em>Mississippi Quarterly</em>, <em>Cultural Analytics</em>, and <em>Digital Humanities Quarterly</em>.</p>
"
"M","Johannes H. Burgers","Burgers, Johannes H.","<p>Johannes Burgers is an Associate Professor of English and Digital Humanities at James Madison University in Virginia and the Co-Director of Digital Yoknapatawpha. Together with Chris Rieger, he directed Teaching and Learning Faulkner in the Digital Age, an NEH grant-funded project to add new learning modules to the site's teaching and learning section. He works on advanced data visualizations of DY's data, and has published in venues such as <em>Mississippi Quarterly</em>, <em>Cultural Analytics</em>, and <em>Digital Humanities Quarterly</em>.</p>
"
"LJC","Johannes H. Burgers","Burgers, Johannes H.","<p>Johannes Burgers is an Associate Professor of English and Digital Humanities at James Madison University in Virginia and the Co-Director of Digital Yoknapatawpha. Together with Chris Rieger, he directed Teaching and Learning Faulkner in the Digital Age, an NEH grant-funded project to add new learning modules to the site's teaching and learning section. He works on advanced data visualizations of DY's data, and has published in venues such as <em>Mississippi Quarterly</em>, <em>Cultural Analytics</em>, and <em>Digital Humanities Quarterly</em>.</p>
"
"RE","Johannes H. Burgers","Burgers, Johannes H.","<p>Johannes Burgers is an Associate Professor of English and Digital Humanities at James Madison University in Virginia and the Co-Director of Digital Yoknapatawpha. Together with Chris Rieger, he directed Teaching and Learning Faulkner in the Digital Age, an NEH grant-funded project to add new learning modules to the site's teaching and learning section. He works on advanced data visualizations of DY's data, and has published in venues such as <em>Mississippi Quarterly</em>, <em>Cultural Analytics</em>, and <em>Digital Humanities Quarterly</em>.</p>
"
"RL","Johannes H. Burgers","Burgers, Johannes H.","<p>Johannes Burgers is an Associate Professor of English and Digital Humanities at James Madison University in Virginia and the Co-Director of Digital Yoknapatawpha. Together with Chris Rieger, he directed Teaching and Learning Faulkner in the Digital Age, an NEH grant-funded project to add new learning modules to the site's teaching and learning section. He works on advanced data visualizations of DY's data, and has published in venues such as <em>Mississippi Quarterly</em>, <em>Cultural Analytics</em>, and <em>Digital Humanities Quarterly</em>.</p>
"
"TH","Johannes H. Burgers","Burgers, Johannes H.","<p>Johannes Burgers is an Associate Professor of English and Digital Humanities at James Madison University in Virginia and the Co-Director of Digital Yoknapatawpha. Together with Chris Rieger, he directed Teaching and Learning Faulkner in the Digital Age, an NEH grant-funded project to add new learning modules to the site's teaching and learning section. He works on advanced data visualizations of DY's data, and has published in venues such as <em>Mississippi Quarterly</em>, <em>Cultural Analytics</em>, and <em>Digital Humanities Quarterly</em>.</p>
"
"BP","Johannes H. Burgers","Burgers, Johannes H.","<p>Johannes Burgers is an Associate Professor of English and Digital Humanities at James Madison University in Virginia and the Co-Director of Digital Yoknapatawpha. Together with Chris Rieger, he directed Teaching and Learning Faulkner in the Digital Age, an NEH grant-funded project to add new learning modules to the site's teaching and learning section. He works on advanced data visualizations of DY's data, and has published in venues such as <em>Mississippi Quarterly</em>, <em>Cultural Analytics</em>, and <em>Digital Humanities Quarterly</em>.</p>
"
"RET","Johannes H. Burgers","Burgers, Johannes H.","<p>Johannes Burgers is an Associate Professor of English and Digital Humanities at James Madison University in Virginia and the Co-Director of Digital Yoknapatawpha. Together with Chris Rieger, he directed Teaching and Learning Faulkner in the Digital Age, an NEH grant-funded project to add new learning modules to the site's teaching and learning section. He works on advanced data visualizations of DY's data, and has published in venues such as <em>Mississippi Quarterly</em>, <em>Cultural Analytics</em>, and <em>Digital Humanities Quarterly</em>.</p>
"
"LD","Dotty Dye","Dye, Dotty","<p>Dotty Dye is a doctoral candidate at Arizona State University.  Her dissertation is broadly concerned with Modernism and War, and focused more specifically on the impact that World War I and France had on the work of a number of up-and-coming writers of the time, including Faulkner. Her interest in the digital humanities stems from her years of experience developing and teaching online courses.</p>
"
"ID","Dotty Dye","Dye, Dotty","<p>Dotty Dye is a doctoral candidate at Arizona State University.  Her dissertation is broadly concerned with Modernism and War, and focused more specifically on the impact that World War I and France had on the work of a number of up-and-coming writers of the time, including Faulkner. Her interest in the digital humanities stems from her years of experience developing and teaching online courses.</p>
"
"SH","Dotty Dye","Dye, Dotty","<p>Dotty Dye is a doctoral candidate at Arizona State University.  Her dissertation is broadly concerned with Modernism and War, and focused more specifically on the impact that World War I and France had on the work of a number of up-and-coming writers of the time, including Faulkner. Her interest in the digital humanities stems from her years of experience developing and teaching online courses.</p>
"
"PAN","Dotty Dye","Dye, Dotty","<p>Dotty Dye is a doctoral candidate at Arizona State University.  Her dissertation is broadly concerned with Modernism and War, and focused more specifically on the impact that World War I and France had on the work of a number of up-and-coming writers of the time, including Faulkner. Her interest in the digital humanities stems from her years of experience developing and teaching online courses.</p>
"
"FD","John Padgett","Padgett, John","<p>John B. Padgett is Associate Professor of English at Brevard College, where he teaches literature, film, and journalism courses and serves as the faculty adviser for the student newspaper. While earning his Ph.D. at the University of Mississippi, he created <em>William Faulkner on the Web</em>, the first extensive web resource on Faulkner. He has published articles on Faulkner in <em>The William Faulkner Encyclopedia</em>, <em>Faulkner and Hurston</em>, and <em>Critical Insights: The Sound and the Fury.</em></p>
"
"LA","John Padgett","Padgett, John","<p>John B. Padgett is Associate Professor of English at Brevard College, where he teaches literature, film, and journalism courses and serves as the faculty adviser for the student newspaper. While earning his Ph.D. at the University of Mississippi, he created <em>William Faulkner on the Web</em>, the first extensive web resource on Faulkner. He has published articles on Faulkner in <em>The William Faulkner Encyclopedia</em>, <em>Faulkner and Hurston</em>, and <em>Critical Insights: The Sound and the Fury.</em></p>
"
"UV","John Padgett","Padgett, John","<p>John B. Padgett is Associate Professor of English at Brevard College, where he teaches literature, film, and journalism courses and serves as the faculty adviser for the student newspaper. While earning his Ph.D. at the University of Mississippi, he created <em>William Faulkner on the Web</em>, the first extensive web resource on Faulkner. He has published articles on Faulkner in <em>The William Faulkner Encyclopedia</em>, <em>Faulkner and Hurston</em>, and <em>Critical Insights: The Sound and the Fury.</em></p>
"
"AMB","John Padgett","Padgett, John","<p>John B. Padgett is Associate Professor of English at Brevard College, where he teaches literature, film, and journalism courses and serves as the faculty adviser for the student newspaper. While earning his Ph.D. at the University of Mississippi, he created <em>William Faulkner on the Web</em>, the first extensive web resource on Faulkner. He has published articles on Faulkner in <em>The William Faulkner Encyclopedia</em>, <em>Faulkner and Hurston</em>, and <em>Critical Insights: The Sound and the Fury.</em></p>
"
"MZG","John Padgett","Padgett, John","<p>John B. Padgett is Associate Professor of English at Brevard College, where he teaches literature, film, and journalism courses and serves as the faculty adviser for the student newspaper. While earning his Ph.D. at the University of Mississippi, he created <em>William Faulkner on the Web</em>, the first extensive web resource on Faulkner. He has published articles on Faulkner in <em>The William Faulkner Encyclopedia</em>, <em>Faulkner and Hurston</em>, and <em>Critical Insights: The Sound and the Fury.</em></p>
"
"ABH","John Padgett","Padgett, John","<p>John B. Padgett is Associate Professor of English at Brevard College, where he teaches literature, film, and journalism courses and serves as the faculty adviser for the student newspaper. While earning his Ph.D. at the University of Mississippi, he created <em>William Faulkner on the Web</em>, the first extensive web resource on Faulkner. He has published articles on Faulkner in <em>The William Faulkner Encyclopedia</em>, <em>Faulkner and Hurston</em>, and <em>Critical Insights: The Sound and the Fury.</em></p>
"
"BAR","John Padgett","Padgett, John","<p>John B. Padgett is Associate Professor of English at Brevard College, where he teaches literature, film, and journalism courses and serves as the faculty adviser for the student newspaper. While earning his Ph.D. at the University of Mississippi, he created <em>William Faulkner on the Web</em>, the first extensive web resource on Faulkner. He has published articles on Faulkner in <em>The William Faulkner Encyclopedia</em>, <em>Faulkner and Hurston</em>, and <em>Critical Insights: The Sound and the Fury.</em></p>
"
